0,number_of_schools
303 GREENWICH STREET,20
303 PARK AVENUE SOUTH,20
303 STOCKHOLM STREET,18
303 WEST 11TH STREET,17
3031 BRIGHTON 14 STREET,9
3034 KINGSBRIDGE AVENUE,20
304 AINSLIE STREET,20
304 EAST 11 STREET,20
304 EAST 41 STREET,17
304 EAST 65 STREET,20
304 EAST 91 STREET,20
304 SCHAEFER STREET,15
304 SPRING STREET,17
304 WEST 106 STREET,16
304 WEST 109 STREET,17
304 WEST 147 STREET,20
3045 OCEAN PARKWAY,14
3049 BRIGHTON 6 STREET,12
305 2 AVENUE,20
305 6 STREET,20
305 BROOME STREET,20
305 EAST 111 STREET,20
305 EAST 24 STREET,20
305 EAST 51 STREET,20
305 EAST 63 STREET,20
305 EAST 86 STREET,20
305 EAST 92 STREET,20
305 EAST 94 STREET,20
305 EAST 95 STREET,20
305 MC GUINNESS BLVD,3
305 OCEAN PARKWAY,13
305 W 16TH STREET,20
305 WEST 123 STREET,20
305 WEST 150TH STREET,19
305 WEST 18 STREET,20
305 WEST 20 STREET,20
305 WEST 45 STREET,20
305 WEST 50 STREET,20
305 WEST 91 STREET,20
305 WEST BROADWAY,20
3050 CORLEAR AVENUE,19
3052 BRIGHTON 1 STREET,14
3052 BRIGHTON 5 STREET,11
306 DEAN STREET,20
306 EAST 6 STREET,20
306 GOLD STREET,20
306 ST JAMES PLACE,20
306 WEST 106 STREET,16
306 WEST 48 STREET,20
307 EAST 162 STREET,20
307 EAST 6 STREET,20
307 WEST 106 STREET,17
307 WEST 137 STREET,20
307 WEST 74 STREET,20
308 12 STREET,19
308 EAST 38 STREET,18
308 EAST 56 STREET,13
308 EAST 6 STREET,20
308 EAST 83 STREET,20
308 EAST 85 STREET,20
308 HEMLOCK STREET,10
308 JEFFERSON STREET,10
308 ONDERDONK AVENUE,11
308 WEST 107 STREET,16
308 WEST 18 STREET,20
308 WEST 30 STREET,20
308 WEST 48 STREET,20
308 WEST 77 STREET,20
308 WEST 82 STREET,20
308 WEST 92 STREET,20
309 5 AVENUE,20
309 AVENUE C,20
309 EAST 109 STREET,20
309 EAST 69 STREET,20
309 EAST 83 STREET,20
309 GRAND STREET,20
309 SCHOLES STREET,13
309 WEST 106 STREET,17
309 WEST 21 STREET,20
3096 BRIGHTON 6 STREET,9
31 2 PLACE,19
31 BROOKLYN AVENUE,20
31 EAST 1 STREET,20
31 HOPE STREET,20
31 KOSCIUSZKO STREET,20
31 LOCUST STREET,18
31 MONROE PLACE,20
31 MT HOPE PLACE,20
31 PARK PLACE,20
31 PARK TERRACE WEST,13
31 SPRING STREET,20
31 ST JOHN'S PLACE,20
31 ST MARK'S PLACE,20
31 WEST 85 STREET,20
31-01 VERNON BOULEVARD,8
31-03 23 STREET,20
31-06 38 STREET,15
31-06 89 STREET,7
31-08 46 STREET,13
31-11 24 AVENUE,7
31-11 38 STREET,17
31-12 23 STREET,20
31-12 74 STREET,9
31-14 28 ROAD,18
31-14 34 STREET,8
31-16 31 STREET,18
31-16 68 STREET,7
31-18 36 AVENUE,16
31-20 38 STREET,17
31-20 47 STREET,12
31-22 34 STREET,16
31-22 44 STREET,13
31-23 32 STREET,17
31-23 47 STREET,13
31-24 28 AVENUE,18
31-27 35 STREET,16
31-28 29 STREET,20
31-28 47 STREET,13
31-30 DITMARS BOULEVARD,11
31-32 21 AVENUE,8
31-32 31 STREET,19
31-33 32 STREET,16
31-33 42 STREET,12
31-34 38 STREET,16
31-35 30 STREET,20
31-35 31 STREET,18
31-35 47 STREET,10
31-35 CRESCENT STREET,20
31-37 28 ROAD,20
31-38 29 STREET,20
31-38 35 STREET,16
31-38 38 STREET,17
31-40 42 STREET,15
31-42 37 STREET,19
31-47 30 STREET,20
31-50 30 STREET,20
31-51 41 STREET,14
31-52 36 STREET,18
31-54 31 STREET,20
31-55 41 STREET,15
31-56 34 STREET,15
31-57 VERNON BOULEVARD,9
31-59 34 STREET,13
31-60 38 STREET,20
31-62 29 STREET,20
31-63 38 STREET,18
31-64 30 STREET,20
31-64 46 STREET,11
31-65 29 STREET,20
31-65 35 STREET,16
31-66 43 STREET,12
31-67 37 STREET,20
31-69 37 STREET,20
31-71 37 STREET,20
31-74 29 STREET,20
31-74 45 STREET,12
31-78 34 STREET,15
310 1 AVENUE,20
310 7 STREET,17
310 94 STREET,10
310 BEVERLY ROAD,15
310 EAST 105 STREET,20
310 EAST 15 STREET,20
310 EAST 55 STREET,20
310 EAST 6 STREET,20
310 GRAHAM AVENUE,20
310 SOUTH 1 STREET,20
310 ST NICHOLAS AVENUE,14
310 WEST 38 STREET,20
310 WEST 47 STREET,20
310 WEST 52 STREET,20
310 WEST 55 STREET,20
3100 ATLANTIC AVENUE,17
3101 BRIGHTON 2 STREET,8
3109 ROBERTS AVENUE,8
311 ADELPHI STREET,18
311 ALEXANDER AVENUE,20
311 EAST 11 STREET,20
311 EAST 25 STREET,20
311 EAST 50 STREET,20
311 EAST 75 STREET,20
311 EAST 80 STREET,20
311 ECKFORD STREET,5
311 GRAHAM AVENUE,20
311 GREENWICH STREET,20
311 PRESIDENT STREET,15
311 SAINT NICHOLAS AV,14
311 WEST 50 STREET,20
311 WEST 91 STREET,20
3111 BRIGHTON 1 PLACE,8
3111 BRIGHTON 7 STREET,8
3112 EMMONS AVENUE,3
3117 BROADWAY,20
312 11 AVENUE,9
312 EAST 9 STREET,20
312 PLEASANT AVENUE,18
312 STUYVESANT AVENUE,20
312 SUYDAM STREET,16
312 WEST 48 STREET,20
312 WEST 58 STREET,20
312 WEST 81 STREET,20
312 WEST 87 STREET,20
312-316 EAST 30 STREET,20
313 52 STREET,14
313 ALEXANDER AVENUE,19
313 EAST 14 STREET,20
313 EAST 5 STREET,20
313 EAST 61 STREET,20
313 EAST 78 STREET,20
313 ST MARK'S AVENUE,20
313 WEST 119 STREET,20
313 WEST 17 STREET,20
313 WEST 22 STREET,20
313 WEST 55 STREET,20
3135 BROADWAY,20
3139 BROADWAY,20
314 19 STREET,13
314 5 AVENUE,20
314 7 AVENUE,18
314 CUMBERLAND STREET,20
314 EAST 41 STREET,17
314 EAST 62 STREET,20
314 EAST 9 STREET,20
314 WEST 43 STREET,20
314 WEST 51 STREET,20
314 WEST 52 STREET,20
314 WEST 94 STREET,20
315 10 AVENUE,15
315 61 STREET,7
315 AVENUE C,20
315 EAST 10 STREET,20
315 EAST 108 STREET,20
315 EAST 56 STREET,20
315 EAST 69 STREET,20
315 EAST 74 STREET,20
315 NEW YORK AVENUE,20
315 OCEAN PARKWAY,12
315 OVINGTON AVENUE,11
315 TROUTMAN STREET,12
315 WEST 19 STREET,20
315 WEST 30 STREET,20
315 WEST 33 STREET,20
315 WEST 74 STREET,20
315 WEST 77 STREET,20
3155 BROADWAY,20
316 7 AVENUE,17
316 78 STREET,17
316 BERGEN STREET,20
316 EAST 19 STREET,20
316 LEXINGTON AVENUE,20
316 MARINE AVENUE,6
316 OVINGTON AVENUE,12
316 WEST 104 STREET,15
316 WEST 19 STREET,20
3160 ALBANY CRESCENT,13
3165 EMMONS AVENUE,3
317 7 STREET,20
317 80 STREET,15
317 ALEXANDER AVENUE,20
317 EAST 52 STREET,20
317 GREENWOOD AVENUE,7
317 HARMAN STREET,17
317 HICKS STREET,18
317 UNION AVENUE,20
317 WEST 35 STREET,20
318 11 STREET,17
318 COVERT STREET,16
318 EAST 34 STREET,20
318 EVERGREEN AVENUE,20
318 GRAND STREET,20
318 HART STREET,20
318 PROSPECT AVENUE,20
318 WEST 105 STREET,14
319 18 STREET,18
319 BALTIC STREET,20
319 EAST 10 STREET,20
319 EAST 108 STREET,20
319 EAST 25 STREET,20
319 EAST 5 STREET,20
319 EAST 90 STREET,20
319 GRAHAM AVENUE,20
319 SCHERMERHORN STREET,20
319 VAN BRUNT STREET,8
319 VANDERBILT STREET,8
319 WEST 105 STREET,16
319 WEST 116 STREET,20
319 WEST 47 STREET,20
319 WINTHROP STREET,20
3191 EMMONS AVENUE,3
32 4 PLACE,12
32 AVENUE A,20
32 CLAVER PLACE,20
32 GRAMERCY PARK SOUTH,20
32 LENOX ROAD,20
32 LIVINGSTON STREET,20
32 NORTH PORTLAND AVE,14
32 ST MARK'S PLACE,20
32 WEST 126 STREET,20
32 WEST 73 STREET,20
32 WEST 87 STREET,20
32-02 29 STREET,20
32-05 NEWTOWN AVENUE,17
32-06 84 STREET,7
32-07 BROADWAY,18
32-11 33 STREET,16
32-17 51 STREET,5
32-19 33 STREET,17
32-21 35 STREET,14
32-22 47 STREET,8
32-32 32 STREET,20
32-32 35 STREET,13
32-36 36 STREET,11
32-37 32 STREET,20
32-37 33 STREET,16
32-40 46 STREET,8
32-40 72 STREET,8
32-41 34 STREET,12
32-41 43 STREET,11
32-43 46 STREET,4
32-44 47 STREET,7
32-48 41 STREET,16
32-49 47 STREET,7
32-50 35 STREET,12
32-50 42 STREET,15
32-50 44 STREET,13
32-52 42 STREET,15
32-52 46 STREET,7
32-63 47 STREET,7
32-64 37 STREET,12
32-65 45 STREET,6
32-65 47 STREET,7
32-69 33RD STREET,16
32-70 33 STREET,18
32-71 48 STREET,6
32-73 48 STREET,6
32-75 36 STREET,12
32-75 44 STREET,4
32-75 46 STREET,7
32-76 34 STREET,13
32-76 38 STREET,13
32-77 37 STREET,12
32-81 45 STREET,8
32-82 34 STREET,15
32-84 30 STREET,20
32-84 31 STREET,19
320 42 STREET,16
320 61 STREET,7
320 EAST 109 STREET,20
320 EAST 54 STREET,20
320 LINCOLN PLACE,20
320 OCEAN PARKWAY,10
320 QUINCY STREET,20
320 SOUTH 4 STREET,20
320 WASHINGTON AVENUE,17
320 WEST 106 STREET,17
320 WEST 20 STREET,20
321 22 STREET,9
321 44 STREET,16
321 BROADWAY,20
321 EAST 115 STREET,20
321 EAST 18 STREET,20
321 EAST 22 STREET,20
321 EAST 25 STREET,20
321 EAST 48 STREET,20
321 EAST 53 STREET,20
321 EAST 54 STREET,20
321 EAST 63 STREET,20
321 EAST 9 STREET,20
321 OVINGTON AVENUE,11
321 PUTNAM AVENUE,16
321 STANHOPE STREET,15
321 STOCKHOLM STREET,13
321 WEST 103 STREET,16
321 WEST 13 STREET,20
321 WEST 37 STREET,20
321 WYTHE AVENUE,18
3210 ARLINGTON AVENUE,20
3211 AVENUE I,7
3217 IRWIN AVENUE,20
322 2 AVENUE,20
322 EAST 14 STREET,20
322 EAST 6 STREET,20
322 EAST 82 STREET,20
322 EAST 85 STREET,20
322 WEST 137 STREET,20
322 WEST 57TH STREET,20
323 5 AVENUE,20
323 EAST 19 STREET,8
323 EAST 8 STREET,20
323 LEONARD STREET,20
323 PARK AVENUE SOUTH,20
323 SOUTH 5 STREET,20
323 STANHOPE STREET,16
323 WEST 74 STREET,20
323 WEST 75 STREET,20
323 WEST 96 STREET,20
323A GREENWICH STREET,20
324 12 STREET,20
324 DE GRAW STREET,20
324 DEAN STREET,20
324 EAST 112 STREET,20
324 EAST 13 STREET,20
324 GRAND AVENUE,20
324 POWERS STREET,18
324 WEST 76 STREET,20
324 WEST 84 STREET,20
325 3 AVENUE,20
325 5 AVENUE,20
325 76 STREET,12
325 EAST 14 STREET,20
325 EAST 21 STREET,20
325 EAST 88 STREET,20
325 KENT AVENUE,12
325 LEXINGTON AVENUE,20
325 NORTH END AVENUE,18
325 WEST 13 STREET,20
325 WEST 30 STREET,20
325 WEST 45 STREET,20
325 WEST 51 STREET,20
325 WEST 57 STREET,20
326 85 STREET,11
326 EAST 13 STREET,20
326 LINCOLN PLACE,20
327 CENTRAL PARK WEST,20
327 EAST 14 STREET,20
327 WEST 35 STREET,20
327 WEST 87 STREET,20
328 BLEECKER STREET,20
328 EAST 120 STREET,20
328 EAST 14 STREET,20
328 EAST 15 STREET,20
328 EAST 55 STREET,20
328 EAST 78 STREET,20
328 EAST 86 STREET,20
328 EAST 9 STREET,20
328 EAST 94 STREET,20
328 WEST 11 STREET,16
328 WEST 19 STREET,20
328 WEST 44 STREET,20
329 14 STREET,20
329 3 AVENUE,20
329 93 STREET,12
329 BAY 11 STREET,2
329 SOUTH 4 STREET,20
329 STERLING STREET,19
329 WEST 101 STREET,18
329 WEST 57 STREET,20
3291 HULL AVENUE,14
33 BANK STREET,20
33 CATON PLACE,10
33 EAST 22 STREET,20
33 RECTOR STREET,20
33 SOUTH ELLIOTT PLACE,20
33 ST MARK'S PLACE,20
33 ST NICHOLAS AVENUE,7
33 STERLING PLACE,20
33 WEST 63 STREET,20
33 WEST 9 STREET,20
33 WORTH STREET,20
33-01 38 AVENUE,17
33-05 28 AVENUE,18
33-05 BROADWAY,16
33-10 24 AVENUE,5
33-10 34 AVENUE,15
33-15 28 STREET,20
33-16 28 AVENUE,20
33-18 24 AVENUE,5
33-21 76 STREET,11
33-26 14 STREET,12
33-30 85 STREET,12
33-31 29 STREET,20
33-35 76 STREET,11
33-41 JUNCTION BOULEVARD,12
33-53 82 STREET,11
330 1 AVENUE,17
330 BLEECKER STREET,18
330 CARROLL STREET,11
330 EAST 109 STREET,20
330 EAST 15 STREET,20
330 EAST 22 STREET,19
330 EAST 33 STREET,20
330 EAST 38 STREET,19
330 EAST 43 STREET,18
330 EAST 46 STREET,20
330 EAST 49 STREET,20
330 EAST 52 STREET,20
330 EAST 57 STREET,20
330 EAST 71 STREET,20
330 EAST 72 STREET,20
330 EAST 75 STREET,20
330 EAST 84 STREET,20
330 HIMROD STREET,20
330 OCEAN PARKWAY,10
330 QUINCY STREET,20
330 SPRING STREET,15
330 TROY AVENUE,20
330 WEST 145 STREET,20
330 WEST 17 STREET,20
330 WEST 22 STREET,20
330 WEST 58 STREET,20
330 WEST 86 STREET,20
3301 NOSTRAND AVENUE,6
331 ADELPHI STREET,19
331 EAST 5 STREET,20
331 EAST 58 STREET,19
331 EAST 89 STREET,20
331 KINGS HIGHWAY,6
331 KOSCIUSZKO STREET,20
331 SENATOR STREET,13
3310 KOSSUTH AVENUE,12
332 CENTRAL AVENUE,20
332 EAST 6 STREET,20
332 EAST 91 STREET,20
333 3 AVENUE,20
333 4 STREET,20
333 85 STREET,11
333 EAST 109 STREET,20
333 EAST 14 STREET,20
333 EAST 30 STREET,20
333 EAST 33 STREET,20
333 EAST 34 STREET,20
333 EAST 46 STREET,20
333 EAST 49 STREET,20
333 EAST 56 STREET,20
333 EAST 83 STREET,20
333 EAST 9 STREET,12
333 EAST 91ST STREET,20
333 HANCOCK STREET,20
333 PEARL STREET,20
333 RECTOR PLACE,20
333 SCHERMERHORN STREET,20
333 WEST 43 STREET,20
333 WEST 56TH STREET,20
333 WEST 57 STREET,20
3333 BROADWAY,12
3333 BRUNER AVENUE,14
3333 HENRY HUDSON PARKWAY,11
334 BOWERY,20
334 CLINTON AVENUE,18
334 EAST 117 STREET,20
334 EAST 13 STREET,20
334 EAST 91 STREET,20
334 EAST 94 STREET,20
334 GRAND STREET,20
334 GREENE AVENUE,20
334 LORIMER STREET,20
334 WEST 17 STREET,20
334 WEST 46 STREET,20
334 WEST 71 STREET,20
334 WEST 87 STREET,20
335 43 STREET,17
335 BEDFORD AVENUE,20
335 CARROLL STREET,14
335 EAST 33 STREET,20
335 EAST 95 STREET,20
335 LEFFERTS AVENUE,19
335 MACON STREET,20
335 WEST 29 STREET,20
336 49 STREET,16
336 CLINTON AVENUE,18
336 EAST 19 STREET,20
336 EAST 5 STREET,20
336 EAST 54 STREET,20
336 EAST 73 STREET,20
336 FLATBUSH AVENUE,18
336 FT WASHINGTON AVENUE,16
336 WEST 47 STREET,20
3364 GUIDER AVENUE,13
337 22 STREET,10
337 95 STREET,9
337 EAST 49 STREET,20
337 EAST 6 STREET,20
337 MELROSE STREET,9
337 PROSPECT AVENUE,19
337 WEST 43 STREET,20
338 EAST 15 STREET,20
338 EAST 5 STREET,20
338 EAST 53 STREET,20
338 EAST 70 STREET,20
338 HAMILTON AVENUE,10
338 LINCOLN ROAD,20
339 57 STREET,12
339 EAST 12 STREET,20
339 EAST 5 STREET,20
339 EAST 6 STREET,20
339 EAST 90 STREET,20
34 BERRY STREET,14
34 DESBROSSES STREET,15
34 DITMARS STREET,20
34 ECKFORD STREET,16
34 LEONARD STREET,20
34 LIVINGSTON STREET,20
34 NORTH 7 STREET,11
34 ST JAMES PLACE,20
34 WEST 22 STREET,20
34-01 29 STREET,20
34-01 9 STREET,10
34-04 28 AVENUE,19
34-04 31 AVENUE,18
34-07 36 AVENUE,13
34-15 37 AVENUE,11
34-15 74TH STREET,16
34-15 PARSONS BOULEVARD,16
34-17 37 STREET,11
34-20 34 STREET,15
34-20 CRESCENT STREET,18
34-21 41 STREET,10
34-21 77 STREET,15
34-22 28 STREET,20
34-23 43 STREET,10
34-24 44 STREET,10
34-26 41 STREET,10
34-26 44 STREET,10
34-29 33 STREET,15
34-31 29 STREET,17
34-32 10 STREET,9
34-32 35 STREET,13
34-35 76 STREET,16
34-40 33 STREET,16
34-41 78 STREET,15
34-41-34-45 LEAVITT STREET,20
34-43 CRESCENT STREET,17
34-43 FRANCIS LEWIS BOULEVARD,8
34-50 28 STREET,17
34-50 41 STREET,10
34-50 59 STREET,10
34-56 33 STREET,14
34-56 64 STREET,8
34-59 9 STREET,9
340 41 STREET,16
340 9 AVENUE,20
340 BAY RIDGE PARKWAY,12
340 CLINTON AVENUE,19
340 EAST 134 STREET,19
340 EAST 23RD STREET,20
340 EAST 51 STREET,20
340 ROEBLING STREET,20
340 WEST 57 STREET,20
3401 RIVERDALE AVENUE,20
3405 NEWKIRK AVENUE,10
3405 RIVERDALE AVENUE,20
341 10TH STREET,14
341 EAST 19 STREET,20
341 EAST 5 STREET,20
341 EAST 65 STREET,20
341 EAST 85 STREET,20
341 EASTERN PARKWAY,20
341 PLEASANT AVENUE,20
341 WEST 122 STREET,20
341 WEST 88 STREET,20
3411 CHURCH AVENUE,18
342 BEDFORD AVENUE,20
342 EAST 110 STREET,20
342 EAST 13 STREET,20
342 EAST 9 STREET,20
342 ELDERT STREET,18
342 LENOX AVENUE,20
342 SUYDAM STREET,15
342 WEST 56 STREET,20
3421 BROADWAY,20
343 1 AVENUE,20
343 4 AVENUE,16
343 63 STREET,6
343 BROADWAY,20
343 EAST 30 STREET,20
343 EAST 51 STREET,20
343 EAST 6 STREET,20
343 EAST 74 STREET,20
343 WEST 29 STREET,20
343 WEST 46 STREET,20
343 WEST END AVENUE,20
344 7 AVENUE,19
344 92 STREET,13
344 EAST 78 STREET,20
344 MC GUINNESS BLVD,2
344 WEST 12 STREET,20
3440 GUIDER AVENUE,15
345 17 STREET,20
345 72 STREET,11
345 92 STREET,14
345 ADELPHI STREET,20
345 CARROLL STREET,13
345 EAST 50 STREET,20
345 EAST 81 STREET,20
345 EAST 93 STREET,20
345 ELDERT STREET,19
345 HUMBOLDT STREET,20
345 LEFFERTS AVENUE,19
345 SOUTH END AVENUE,20
345 UNION AVENUE,20
345 WEBSTER AVENUE,11
345 WEST 14 STREET,20
345 WEST 145 STREET,20
3451 GILES PLACE,5
3455 IRWIN AVENUE,17
346 7 AVENUE,19
346 79 STREET,16
346 85 STREET,12
346 BAY RIDGE AVENUE,11
346 EAST 13 STREET,20
346 EAST 29 STREET,12
346 EAST 51 STREET,20
346 EAST 65 STREET,20
346 GATES AVENUE,20
346 LENOX ROAD,20
346 WEST 36 STREET,20
346 WEST 47 STREET,20
346 WEST END AVENUE,20
347 94 STREET,11
347 EAST 53 STREET,12
347 GRAND STREET,20
347 WEST 57 STREET,20
348 EAST 51 STREET,20
348 EAST 66 STREET,20
349 MARLBOROUGH ROAD,12
349 UNION STREET,18
349 WEST END AVENUE,20
35 CLARKSON AVENUE,18
35 CLAVER PLACE,19
35 COOPER STREET,16
35 EAST 38 STREET,20
35 EAST 84TH STREET,20
35 GRANT SQUARE,16
35 JEWEL STREET,6
35 MARKET STREET,20
35 PARK AVENUE,20
35 SEACOAST TERRACE,10
35 ST NICHOLAS TERRACE,20
35 STRATFORD AVENUE,2
35 STRATFORD ROAD,13
35 TENNIS COURT,16
35 WEST 15 STREET,20
35 WEST 33 STREET,20
35 WEST 64 STREET,20
35 WOOSTER STREET,20
35-01 28 STREET,18
35-04 28 AVENUE,20
35-04 31 AVENUE,18
35-05 87 STREET,12
35-05 DITMARS BOULEVARD,11
35-07 DITMARS BOULEVARD,11
35-08 DITMARS BOULEVARD,10
35-09 28 AVENUE,18
35-15 BROADWAY,17
35-16 31 STREET,17
35-17 DITMARS BOULEVARD,9
35-19 147 STREET,10
35-20 28 STREET,17
35-20 LEVERICH STREET,8
35-21 28 STREET,17
35-21 32 STREET,14
35-21 81 STREET,16
35-21 CRESCENT STREET,15
35-25 32 STREET,14
35-40 11 STREET,12
35-40 82 STREET,16
35-42 29 STREET,18
35-43 72 STREET,14
35-57 87 STREET,14
35-64 80 STREET,19
350 7 AVENUE,20
350 ALBANY STREET,20
350 BEDFORD AVENUE,19
350 CENTRAL PARK WEST,20
350 EAST 19 STREET,7
350 EAST 30 STREET,20
350 EAST 62 STREET,20
350 EAST 82 STREET,20
350 EAST 91 STREET,20
350 LINCOLN PLACE,20
350 SOUTH 4 STREET,20
350 SOUTH 5 STREET,20
350 WEST 42 STREET,20
350 WEST 50 STREET,20
350 WEST 53 STREET,20
350 WEST 57TH STREET,20
3500 SNYDER AVENUE,7
3501 FOSTER AVENUE,11
3502 BROADWAY,18
3507 FT INDEPENDENCE ST,8
351 3 AVENUE,20
351 54 STREET,14
351 BEDFORD AVENUE,20
351 EAST 18 STREET,20
351 EAST 51 STREET,19
351 EAST 84TH STREET,20
351 MARINE AVENUE,6
351 SOUTH 5 STREET,20
351 WEST 141 STREET,20
351 WEST 29 STREET,20
351 WEST 47 STREET,20
351 WEST 54 STREET,20
352 57 STREET,11
352 6 AVENUE,20
352 63 STREET,8
352 80 STREET,13
352 EAST 134 STREET,20
352 EAST 91 STREET,20
352 PROSPECT PLACE,19
352 WEIRFIELD STREET,15
353 21 STREET,14
353 CENTRAL PARK WEST,20
353 E. 104 STREET,20
353 MANHATTAN AVENUE,13
353 MARION STREET,18
353 TOMPKINS AVENUE,19
353 WEST 19 STREET,20
353 WEST END AVENUE,20
354 22 STREET,11
354 BROOME STREET,20
354 EAST 78 STREET,20
354 EAST 87 STREET,20
354 EAST 91 STREET,20
3540 DEKALB AVENUE,2
355 5 AVENUE,20
355 80 STREET,14
355 BLEECKER STREET,20
355 GRAHAM AVENUE,20
355 KNICKERBOCKER AVENUE,19
355 PROSPECT AVENUE,20
355 SOUTH END AVENUE,20
355 STOCKHOLM STREET,12
355 WEST 20 STREET,20
3555 OXFORD AVENUE,17
356 62 STREET,6
356 METROPOLITAN AVENUE,20
356 ST JOHN'S PLACE,20
356 STATE STREET,20
356 WEST 45 STREET,20
357 91 STREET,15
357 WEST 54 STREET,20
358 PALMETTO STREET,20
358 VAN BRUNT STREET,6
359 CLINTON STREET,20
359 EAST 19 STREET,20
359 EAST 21 STREET,20
36 3 STREET,11
36 72 STREET,2
36 GRAMERCY PARK EAST,20
36 JEWEL STREET,6
36 LAIGHT STREET,20
36 LEFFERTS PLACE,20
36 MARCY AVENUE,20
36 PECK SLIP,20
36 RALPH AVENUE,19
36 SOUTH 4 STREET,15
36 UNION SQUARE,20
36-01 CORPORAL STONE ST,6
36-05 VERNON BOULEVARD,9
36-06 30 STREET,19
36-06 DITMARS BOULEVARD,9
36-11 31 AVENUE,16
36-12 31 AVENUE,16
36-14 165 STREET,7
36-14 30 AVENUE,17
36-16 24 AVENUE,5
36-18 23 AVENUE,8
36-20 BOWNE STREET,20
36-20 PARSONS BOULEVARD,20
36-23 213 STREET,8
36-28 24 STREET,15
36-30 30 STREET,18
36-31 30 STREET,20
36-32 24 STREET,15
36-35 167 STREET,4
360 41 STREET,16
360 49 STREET,17
360 85 STREET,12
360 CENTRAL PARK WEST,20
360 EAST 55TH STREET,18
360 EAST 57 STREET,20
360 EAST 88 STREET,20
360 EAST 89TH STREET,20
360 FRANKLIN AVENUE,20
360 FURMAN STREET,5
360 MENAHAN STREET,20
360 PALMETTO STREET,20
360 SMITH STREET,16
360 WEST 34 STREET,20
360 WEST 43 STREET,20
360 WEST 51 STREET,20
3600 FIELDSTON ROAD,15
3605 SEDGWICK AVENUE,6
361 CENTRAL PARK WEST,20
361 GRAHAM AVENUE,20
361 LENOX AVENUE,20
361 LINCOLN PLACE,20
361 WEST 46 STREET,20
362 CARROLL STREET,10
362 STOCKTON STREET,20
362 WEST 30 STREET,20
3620 OXFORD AVENUE,12
3625 OXFORD AVENUE,12
3626 KINGS HIGHWAY,16
363 91 STREET,15
363 EAST 76 STREET,20
363 EDGECOMBE AVENUE,18
363 PALMETTO STREET,20
363 PROSPECT PLACE,20
3636 FIELDSTON ROAD,15
364 WEST 18TH STREET,20
3640 CORLEAR AVENUE,10
365 82 STREET,11
365 86 STREET,13
365 BRIDGE STREET,20
365 CANAL STREET,20
365 COLUMBIA STREET,13
365 SOUTH END AVENUE,20
365 WEST 116 STREET,20
365 WEST 126 STREET,20
365 WEST 52 STREET,20
366 WADSWORTH AVENUE,20
366 WEST 11 STREET,13
366 WEST 23 STREET,20
3660 OXFORD AVENUE,10
3660 WALDO AVENUE,10
3661 BROADWAY,11
367 14 STREET,20
367 5 AVENUE,20
367 96 STREET,9
367 AVENUE S,6
367 WADSWORTH AVENUE,20
3671 HUDSON MANOR TERRACE,7
368 7 AVENUE,20
368 94 STREET,10
368 WEST 52 STREET,20
369 51 STREET,17
369 7 AVENUE,20
369 BLEECKER STREET,20
369 CLINTON STREET,20
369 COLUMBIA STREET,13
369 WEST 126 STREET,20
37 BAY 26 STREET,9
37 CATHERINE STREET,20
37 EAST 67 STREET,20
37 GREAT JONES STREET,20
37 JEWEL STREET,6
37 LISPENARD STREET,20
37 MADISON STREET,20
37 SOUTH 3 STREET,13
37 WALL STREET,20
37 WARREN STREET,20
37 WEST 19 STREET,20
37 WEST 21 STREET,20
37-01 30 AVENUE,18
37-05 68 STREET,9
37-07 147 STREET,10
37-07 24 AVENUE,6
37-14 GREENPOINT AVENUE,12
37-16 83 STREET,17
37-19 79 STREET,19
37-20 83 STREET,17
37-21 31 STREET,20
37-29 31 STREET,19
37-33 COLLEGE POINT BOULEVARD,3
37-34 27 STREET,19
37-34 29 STREET,20
37-43 80 STREET,19
37-44 82 STREET,19
37-51-37-55 79 STREET,19
37-52 89 STREET,12
37-55 81 STREET,18
37-75 63 STREET,11
37-75 64 STREET,8
37-76 62 STREET,10
370 1 AVENUE,20
370 EAST 23 STREET,10
370 EAST 31 STREET,11
370 MENAHAN STREET,20
371 BAY RIDGE PARKWAY,13
371 HOYT STREET,9
371 MADISON STREET,10
371 MARION STREET,16
371 PALMETTO STREET,20
371 WADSWORTH AVENUE,20
372 5 AVENUE,20
372 CENTRAL PARK WEST,20
372 KOSCIUSZKO STREET,20
372 LAFAYETTE AVENUE,20
372 NEW YORK AVENUE,19
373 5 AVENUE,20
373 96 STREET,9
373 MENAHAN STREET,19
373 MONROE STREET,20
373 SOUTH 5 STREET,20
373 TOMPKINS AVENUE,19
373 WYTHE AVENUE,15
374 5 AVENUE,20
374 7 STREET,20
374 8 STREET,19
374 94 STREET,10
374 CORNELIA STREET,20
374 HARMAN STREET,19
374A 8 STREET,18
375 13 STREET,20
375 76 STREET,13
375 BROOME STREET,20
375 SOUTH END AVENUE,20
376 8 STREET,18
376 ADELPHI STREET,19
376 BOND STREET,10
376 BROADWAY,20
376 FRANKLIN AVENUE,20
3761 BROADWAY,10
3765 18 AVENUE,11
377 EAST 33 STREET,20
377 RECTOR PLACE,20
3777 INDEPENDENCE AVENUE,7
378 92 STREET,12
378 93 STREET,11
378 94 STREET,10
378 GRAND AVENUE,20
378 MYRTLE AVENUE,15
378 SOUTH 3 STREET,20
